result,dirname,id,depth,hidden_dim,kappa,batch_size,num_epochs,learning_rate
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00067,hpset_00067,2,100,1.000000,100,100,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00068,hpset_00068,2,100,1.000000,100,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00072,hpset_00072,2,100,1.000000,200,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00073,hpset_00073,2,300,0.100000,50,50,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00077,hpset_00077,2,300,0.100000,100,50,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00078,hpset_00078,2,300,0.100000,100,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00082,hpset_00082,2,300,0.100000,200,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00083,hpset_00083,2,300,0.100000,200,100,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00085,hpset_00085,2,300,1.000000,50,50,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00089,hpset_00089,2,300,1.000000,100,50,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00090,hpset_00090,2,300,1.000000,100,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00094,hpset_00094,2,300,1.000000,200,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00095,hpset_00095,2,300,1.000000,200,100,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00001,hpset_00001,1,100,0.100000,50,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00005,hpset_00005,1,100,0.100000,100,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00010,hpset_00010,1,100,0.100000,200,50,0.001000
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00011,hpset_00011,1,100,0.100000,200,100,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00013,hpset_00013,1,100,1.000000,50,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00017,hpset_00017,1,100,1.000000,100,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00018,hpset_00018,1,100,1.000000,100,50,0.001000
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00022,hpset_00022,1,100,1.000000,200,50,0.001000
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00023,hpset_00023,1,100,1.000000,200,100,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00033,hpset_00033,1,300,0.100000,200,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00045,hpset_00045,1,300,1.000000,200,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00049,hpset_00049,2,100,0.100000,50,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00053,hpset_00053,2,100,0.100000,100,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00054,hpset_00054,2,100,0.100000,100,50,0.001000
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00058,hpset_00058,2,100,0.100000,200,50,0.001000
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00059,hpset_00059,2,100,0.100000,200,100,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00061,hpset_00061,2,100,1.000000,50,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00065,hpset_00065,2,100,1.000000,100,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00070,hpset_00070,2,100,1.000000,200,50,0.001000
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00071,hpset_00071,2,100,1.000000,200,100,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00081,hpset_00081,2,300,0.100000,200,50,0.000500
000.870,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00093,hpset_00093,2,300,1.000000,200,50,0.000500
000.871,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00009,hpset_00009,1,100,0.100000,200,50,0.000500
000.871,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00021,hpset_00021,1,100,1.000000,200,50,0.000500
000.871,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00057,hpset_00057,2,100,0.100000,200,50,0.000500
000.871,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00069,hpset_00069,2,100,1.000000,200,50,0.000500
